INFO - 2025-01-05 01:47:35,718 - console activated - Fluxon.Endpoint
INFO - 2025-01-05 01:47:35,741 - [Fluxon] server running on 192.168.56.1:8080 - Fluxon.Endpoint
WARNING - 2025-01-05 01:47:43,532 - Failed to read content length from ('192.168.56.1', 10570) - Fluxon.Endpoint
INFO - 2025-01-05 01:47:43,532 - Connection closed by ('192.168.56.1', 10570) - Fluxon.Endpoint
WARNING - 2025-01-05 01:47:48,090 - Failed to read content length from ('192.168.56.1', 10571) - Fluxon.Endpoint
INFO - 2025-01-05 01:47:48,091 - Connection closed by ('192.168.56.1', 10571) - Fluxon.Endpoint
WARNING - 2025-01-05 01:47:51,313 - Failed to read content length from ('192.168.56.1', 10572) - Fluxon.Endpoint
INFO - 2025-01-05 01:47:51,314 - Connection closed by ('192.168.56.1', 10572) - Fluxon.Endpoint
WARNING - 2025-01-05 01:48:07,426 - Failed to read content length from ('192.168.56.1', 10574) - Fluxon.Endpoint
INFO - 2025-01-05 01:48:07,429 - Connection closed by ('192.168.56.1', 10574) - Fluxon.Endpoint
WARNING - 2025-01-05 01:48:31,289 - Failed to read content length from ('192.168.56.1', 10575) - Fluxon.Endpoint
INFO - 2025-01-05 01:48:31,290 - Connection closed by ('192.168.56.1', 10575) - Fluxon.Endpoint
WARNING - 2025-01-05 01:48:35,830 - Timeout after 60 seconds while reading from ('192.168.56.1', 10565) - Fluxon.Endpoint
WARNING - 2025-01-05 01:49:35,847 - Timeout after 60 seconds while reading from ('192.168.56.1', 10565) - Fluxon.Endpoint
WARNING - 2025-01-05 01:50:35,851 - Timeout after 60 seconds while reading from ('192.168.56.1', 10565) - Fluxon.Endpoint
WARNING - 2025-01-05 01:51:35,865 - Timeout after 60 seconds while reading from ('192.168.56.1', 10565) - Fluxon.Endpoint
WARNING - 2025-01-05 01:52:35,881 - Timeout after 60 seconds while reading from ('192.168.56.1', 10565) - Fluxon.Endpoint
WARNING - 2025-01-05 01:53:35,899 - Timeout after 60 seconds while reading from ('192.168.56.1', 10565) - Fluxon.Endpoint
WARNING - 2025-01-05 01:54:35,911 - Timeout after 60 seconds while reading from ('192.168.56.1', 10565) - Fluxon.Endpoint
WARNING - 2025-01-05 01:55:35,914 - Timeout after 60 seconds while reading from ('192.168.56.1', 10565) - Fluxon.Endpoint
WARNING - 2025-01-05 01:56:35,933 - Timeout after 60 seconds while reading from ('192.168.56.1', 10565) - Fluxon.Endpoint
WARNING - 2025-01-05 01:57:35,941 - Timeout after 60 seconds while reading from ('192.168.56.1', 10565) - Fluxon.Endpoint
WARNING - 2025-01-05 01:58:35,953 - Timeout after 60 seconds while reading from ('192.168.56.1', 10565) - Fluxon.Endpoint
WARNING - 2025-01-05 01:59:35,963 - Timeout after 60 seconds while reading from ('192.168.56.1', 10565) - Fluxon.Endpoint
WARNING - 2025-01-05 02:00:35,970 - Timeout after 60 seconds while reading from ('192.168.56.1', 10565) - Fluxon.Endpoint
WARNING - 2025-01-05 02:01:35,973 - Timeout after 60 seconds while reading from ('192.168.56.1', 10565) - Fluxon.Endpoint
WARNING - 2025-01-05 02:02:35,980 - Timeout after 60 seconds while reading from ('192.168.56.1', 10565) - Fluxon.Endpoint
WARNING - 2025-01-05 02:03:35,997 - Timeout after 60 seconds while reading from ('192.168.56.1', 10565) - Fluxon.Endpoint
ERROR - 2025-01-05 02:04:18,583 - Error while closing the connection: [WinError 64] The specified network name is no longer available - Fluxon.Endpoint
WARNING - 2025-01-05 02:04:27,679 - Failed to read content length from ('192.168.56.1', 10721) - Fluxon.Endpoint
INFO - 2025-01-05 02:04:27,680 - Connection closed by ('192.168.56.1', 10721) - Fluxon.Endpoint
ERROR - 2025-01-05 02:04:32,473 - Error while closing the connection: [WinError 64] The specified network name is no longer available - Fluxon.Endpoint
WARNING - 2025-01-05 02:21:13,502 - Timeout after 60 seconds while reading from ('192.168.56.1', 10800) - Fluxon.Endpoint
WARNING - 2025-01-05 02:22:13,505 - Timeout after 60 seconds while reading from ('192.168.56.1', 10800) - Fluxon.Endpoint
